,0
0,1852.0
1,2160.0
2,2237.0
3,1434.0
4,1709.0
5,1074.0
6,636.0
7,870.0
8,1054.0
9,788.0
10,880.0
11,719.0
12,862.0
13,857.0
14,691.0
15,788.0
16,534.0
17,559.0
18,1014.0
19,1017.0
20,854.0
21,870.0
22,842.0
23,860.0
24,917.0
25,709.0
26,876.0
27,731.0
28,757.0
29,742.0
30,703.0
31,704.0
32,648.0
33,617.0
34,625.0
35,966.0
36,1051.0
37,702.0
38,651.0
39,616.0
40,599.0
41,300.0
42,148.0
43,438.0
44,335.0
45,444.0
46,480.0
47,511.0
48,561.0
49,477.0
50,458.0
51,483.0
52,485.0
53,494.0
54,487.0
55,461.0
56,502.0
57,489.0
58,513.0
59,527.0
60,495.0
61,461.0
62,471.0
63,468.0
64,509.0
65,498.0
66,481.0
67,492.0
68,519.0
69,520.0
70,499.0
71,463.0
72,535.0
73,478.0
74,465.0
75,459.0
76,499.0
77,429.0
78,466.0
79,462.0
80,457.0
81,487.0
82,429.0
83,713.0
84,1009.0
85,1063.0
86,1115.0
87,1048.0
88,828.0
89,667.0
90,1836.0
91,828.0
92,1039.0
93,1078.0
94,817.0
95,932.0
96,816.0
97,858.0
98,876.0
99,1638.0
100,1315.0
101,1146.0
102,1155.0
103,813.0
104,772.0
105,1002.0
106,825.0
107,989.0
108,1028.0
109,850.0
110,541.0
111,858.0
112,935.0
113,731.0
114,1284.0
115,1158.0
116,1093.0
117,923.0
118,1935.0
119,1156.0
120,796.0
121,786.0
122,940.0
123,1801.0
